american_alligator,asian_elephant,axolotl,black_iguana,blue_macaw,coyote,crested_caracara,green_turtle,ocelot,resplendent_quetzal,BIOME,BIO1,BIO4,BIO5,BIO6,BIO12,BIO15,BIO17,BIO18
0,0,0,0,0,1,0,0,0,0,6.0,-0.8949574364556206,976.5385199652778,18.292438083224827,-17.367457071940105,698.9444444444445,49.491234673394096,96.44444444444444,263.55555555555554
0,0,0,0,0,1,0,0,0,0,11.0,-0.8949574364556206,976.5385199652778,18.292438083224827,-17.367457071940105,698.9444444444445,49.491234673394096,96.44444444444444,263.55555555555554
0,0,0,0,0,1,0,0,0,0,99.0,-0.8949574364556206,976.5385199652778,18.292438083224827,-17.367457071940105,698.9444444444445,49.491234673394096,96.44444444444444,263.55555555555554
0,0,0,0,0,1,0,0,0,0,11.0,-4.755255381266276,1084.925021701389,16.32152811686198,-22.656624688042534,561.75,55.98578219943576,77.02777777777777,252.72222222222223
0,0,0,0,0,1,0,0,0,0,99.0,-4.755255381266276,1084.925021701389,16.32152811686198,-22.656624688042534,561.75,55.98578219943576,77.02777777777777,252.72222222222223
0,0,0,0,0,1,0,0,0,0,6.0,-4.755255381266276,1084.925021701389,16.32152811686198,-22.656624688042534,561.75,55.98578219943576,77.02777777777777,252.72222222222223
0,0,0,0,0,1,0,0,0,0,5.0,2.8232114579942493,522.4612630208334,13.856007046169704,-6.003704494900173,1347.111111111111,43.415001763237846,186.0,218.22222222222223
0,0,0,0,0,1,0,0,0,0,11.0,2.8232114579942493,522.4612630208334,13.856007046169704,-6.003704494900173,1347.111111111111,43.415001763237846,186.0,218.22222222222223
0,0,0,0,0,1,0,0,0,0,99.0,2.8232114579942493,522.4612630208334,13.856007046169704,-6.003704494900173,1347.111111111111,43.415001763237846,186.0,218.22222222222223
0,0,0,0,0,1,0,0,0,0,5.0,0.7811580763922797,659.7319878472222,14.377168443467882,-9.661101447211372,983.0555555555555,40.78192816840278,143.63888888888889,204.80555555555554
0,0,0,0,0,1,0,0,0,0,99.0,0.7811580763922797,659.7319878472222,14.377168443467882,-9.661101447211372,983.0555555555555,40.78192816840278,143.63888888888889,204.80555555555554
0,0,0,0,0,1,0,0,0,0,11.0,0.7811580763922797,659.7319878472222,14.377168443467882,-9.661101447211372,983.0555555555555,40.78192816840278,143.63888888888889,204.80555555555554
0,0,0,0,0,1,0,0,0,0,6.0,0.7811580763922797,659.7319878472222,14.377168443467882,-9.661101447211372,983.0555555555555,40.78192816840278,143.63888888888889,204.80555555555554
0,0,0,0,0,1,0,0,0,0,11.0,0.40077151192559135,851.7943250868055,17.07723151312934,-13.736214531792534,673.2777777777778,41.991916232638886,95.30555555555556,210.44444444444446
0,0,0,0,0,1,0,0,0,0,6.0,0.40077151192559135,851.7943250868055,17.07723151312934,-13.736214531792534,673.2777777777778,41.991916232638886,95.30555555555556,210.44444444444446
0,0,0,0,0,1,0,0,0,0,11.0,-3.664117177327474,1047.7586805555557,17.28079054090712,-20.18033175998264,518.4444444444445,54.257364908854164,73.08333333333333,230.36111111111111
0,0,0,0,0,1,0,0,0,0,99.0,-3.664117177327474,1047.7586805555557,17.28079054090712,-20.18033175998264,518.4444444444445,54.257364908854164,73.08333333333333,230.36111111111111
0,0,0,0,0,1,0,0,0,0,6.0,-3.664117177327474,1047.7586805555557,17.28079054090712,-20.18033175998264,518.4444444444445,54.257364908854164,73.08333333333333,230.36111111111111
0,0,0,0,0,1,0,0,0,0,11.0,-3.158567852444119,1444.890625,22.624555799696182,-27.04870096842448,349.44444444444446,68.91276719835069,33.77777777777778,179.38888888888889
0,0,0,0,0,1,0,0,0,0,6.0,-3.158567852444119,1444.890625,22.624555799696182,-27.04870096842448,349.44444444444446,68.91276719835069,33.77777777777778,179.38888888888889
0,0,0,0,0,1,0,0,0,0,11.0,-2.109924740261502,753.95751953125,13.309629652235243,-13.986367119683159,614.0555555555555,36.81904093424479,91.69444444444444,203.88888888888889
0,0,0,0,0,1,0,0,0,0,5.0,-2.109924740261502,753.95751953125,13.309629652235243,-13.986367119683159,614.0555555555555,36.81904093424479,91.69444444444444,203.88888888888889
0,0,0,0,0,1,0,0,0,0,6.0,-2.109924740261502,753.95751953125,13.309629652235243,-13.986367119683159,614.0555555555555,36.81904093424479,91.69444444444444,203.88888888888889
0,0,0,0,0,1,0,0,0,0,99.0,-2.109924740261502,753.95751953125,13.309629652235243,-13.986367119683159,614.0555555555555,36.81904093424479,91.69444444444444,203.88888888888889
0,0,0,0,0,1,0,0,0,0,11.0,-4.074705759684245,1053.2957899305557,16.88512674967448,-20.682902018229168,409.19444444444446,59.86951361762153,54.638888888888886,198.66666666666666
0,0,0,0,0,1,0,0,0,0,11.0,-3.0455635918511286,1381.6468098958333,21.731382581922745,-25.787353515625,313.52777777777777,62.792453342013886,31.72222222222222,155.41666666666666
0,0,0,0,0,1,0,0,0,0,6.0,-3.0455635918511286,1381.6468098958333,21.731382581922745,-25.787353515625,313.52777777777777,62.792453342013886,31.72222222222222,155.41666666666666
0,0,0,0,0,1,0,0,0,0,11.0,-3.9585160149468317,794.1610243055555,11.818486531575521,-16.86269972059462,590.3888888888889,36.892055935329864,90.16666666666667,208.27777777777777
0,0,0,0,0,1,0,0,0,0,5.0,-3.9585160149468317,794.1610243055555,11.818486531575521,-16.86269972059462,590.3888888888889,36.892055935329864,90.16666666666667,208.27777777777777
0,0,0,0,0,1,0,0,0,0,99.0,-3.9585160149468317,794.1610243055555,11.818486531575521,-16.86269972059462,590.3888888888889,36.892055935329864,90.16666666666667,208.27777777777777
0,0,0,0,0,1,0,0,0,0,6.0,-3.9585160149468317,794.1610243055555,11.818486531575521,-16.86269972059462,590.3888888888889,36.892055935329864,90.16666666666667,208.27777777777777
0,0,0,0,0,1,0,0,0,0,11.0,-5.1962534586588545,1057.8797743055557,15.477186414930555,-21.621417575412327,365.97222222222223,67.90119764539931,46.30555555555556,192.11111111111111
0,0,0,0,0,1,0,0,0,0,99.0,-5.1962534586588545,1057.8797743055557,15.477186414930555,-21.621417575412327,365.97222222222223,67.90119764539931,46.30555555555556,192.11111111111111
0,0,0,0,0,1,0,0,0,0,11.0,-2.9900900522867837,1372.5716145833333,21.264645046657986,-25.691891140407986,334.77777777777777,56.219512939453125,37.5,156.36111111111111
0,0,0,0,0,1,0,0,0,0,6.0,-2.9900900522867837,1372.5716145833333,21.264645046657986,-25.691891140407986,334.77777777777777,56.219512939453125,37.5,156.36111111111111
0,0,0,0,0,1,0,0,0,0,11.0,-3.5215072631835938,899.8625759548611,14.104722764756945,-19.452767266167534,577.25,36.56443956163194,91.16666666666667,201.69444444444446
0,0,0,0,0,1,0,0,0,0,5.0,-3.5215072631835938,899.8625759548611,14.104722764756945,-19.452767266167534,577.25,36.56443956163194,91.16666666666667,201.69444444444446
0,0,0,0,0,1,0,0,0,0,99.0,-3.5215072631835938,899.8625759548611,14.104722764756945,-19.452767266167534,577.25,36.56443956163194,91.16666666666667,201.69444444444446
0,0,0,0,0,1,0,0,0,0,6.0,-3.5215072631835938,899.8625759548611,14.104722764756945,-19.452767266167534,577.25,36.56443956163194,91.16666666666667,201.69444444444446
0,0,0,0,0,1,0,0,0,0,11.0,-5.578225877549913,1070.231228298611,15.304938422309029,-22.311208089192707,331.1666666666667,79.30110677083333,35.888888888888886,189.80555555555554
0,0,0,0,0,1,0,0,0,0,6.0,-5.578225877549913,1070.231228298611,15.304938422309029,-22.311208089192707,331.1666666666667,79.30110677083333,35.888888888888886,189.80555555555554
0,0,0,0,0,1,0,0,0,0,99.0,-5.578225877549913,1070.231228298611,15.304938422309029,-22.311208089192707,331.1666666666667,79.30110677083333,35.888888888888886,189.80555555555554
0,0,0,0,0,1,0,0,0,0,11.0,-3.0492426554361978,1323.908420138889,21.278389824761284,-24.593880547417534,316.4166666666667,69.83100721571181,31.083333333333332,168.22222222222223
0,0,0,0,0,1,0,0,0,0,6.0,-3.0492426554361978,1323.908420138889,21.278389824761284,-24.593880547417534,316.4166666666667,69.83100721571181,31.083333333333332,168.22222222222223
0,0,0,0,0,1,0,0,0,0,5.0,0.25653587688099255,702.6737393465909,14.421142578125,-12.592928799715908,1484.6818181818182,29.042103160511363,269.8181818181818,359.04545454545456
0,0,0,0,0,1,0,0,0,0,11.0,0.25653587688099255,702.6737393465909,14.421142578125,-12.592928799715908,1484.6818181818182,29.042103160511363,269.8181818181818,359.04545454545456
0,0,0,0,0,1,0,0,0,0,99.0,0.25653587688099255,702.6737393465909,14.421142578125,-12.592928799715908,1484.6818181818182,29.042103160511363,269.8181818181818,359.04545454545456
0,0,0,0,0,1,0,0,0,0,11.0,-3.0557914310031467,1022.2348090277778,16.91115993923611,-21.584716796875,566.6388888888889,35.77134535047743,82.83333333333333,191.36111111111111
